year,감자_true,감자_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,17184.834000000003,17066.737958333335,20178.283516666666,21331.2674,1,1,1.0,1.0,2993.449516666664,4264.529441666666,2993.449516666664,4264.529441666666,2993.449516666664
2007,20779.584083333335,23665.07358333333,20877.11685,21410.781591666666,1,0,1.0,0.5,97.53276666666352,0.0,1545.4911416666637,2132.264720833333,1545.4911416666637
2008,25183.499833333335,27049.70058333334,22099.566916666667,22643.843391666665,0,0,0.6666666666666666,0.3333333333333333,0.0,0.0,1030.3274277777757,1421.5098138888886,686.8849518518505
2009,26209.417166666666,26372.851666666666,22760.766866666665,23863.047891666665,0,0,0.5,0.25,0.0,0.0,772.7455708333318,1066.1323604166664,386.3727854166659
2010,31893.082666666673,29762.191000000003,21599.30033333333,23307.07055833333,0,0,0.4,0.2,0.0,0.0,618.1964566666654,852.9058883333331,247.27858266666618
2011,33519.00016666667,30357.644083333333,24250.08355,24783.31095833333,0,0,0.3333333333333333,0.16666666666666666,0.0,0.0,515.1637138888879,710.7549069444443,171.72123796296262
2012,35677.082666666676,30917.449666666667,27516.91678333333,27441.492183333332,0,0,0.2857142857142857,0.14285714285714285,0.0,0.0,441.56889761904677,609.2184916666665,126.1625421768705
2013,24260.999666666667,26489.236166666666,30496.416500000003,28891.9674,1,1,0.375,0.25,6235.416833333336,2402.7312333333357,1165.799889583333,833.4075843750002,437.17495859374986
2014,22752.416833333333,25430.1685,30311.91646666667,28779.87451666667,1,1,0.4444444444444444,0.3333333333333333,7559.4996333333365,3349.7060166666706,1876.2109722222222,1112.9962990740746,833.8715432098764
2015,32442.999833333335,28822.86341666667,29620.5164,28591.337883333337,0,0,0.4,0.3,0.0,0.0,1688.5898750000001,1001.6966691666672,675.43595
2016,28445.416166666673,28354.866083333338,29730.499833333328,28403.472366666672,1,1,0.45454545454545453,0.36363636363636365,1285.0836666666546,48.60628333333443,1651.9074924242414,915.0520886363643,750.8670420110187
2017,40058.083666666666,32636.25791666667,28715.78303333333,28002.91676666667,0,0,0.4166666666666667,0.3333333333333333,0.0,0.0,1514.2485347222212,838.7977479166672,630.9368894675922
2018,52831.25,29911.63233333333,29591.983233333325,28346.67841666667,0,0,0.38461538461538464,0.3076923076923077,0.0,0.0,1397.7678782051273,774.2748442307698,537.6030300788951
2019,32584.41733333333,26479.36175,35306.033299999996,29031.15765,1,1,0.42857142857142855,0.35714285714285715,2721.6159666666645,2551.795900000001,1492.32845595238,901.2406339285719,639.5693382653056
2020,31512.2505,29596.628416666663,37272.433399999994,29240.996300000006,1,0,0.4666666666666667,0.3333333333333333,5760.182899999996,0.0,1776.8520855555544,841.1579250000005,829.1976399259254
