year,녹두(국산)_true,녹두(국산)_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,266262.9141666666,271269.9108333333,233630.06733333334,240654.77333333337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,256668.00083333332,263785.7141666667,243039.05016666665,248583.01950000008,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,228683.75333333333,235559.42750000002,261390.49999999994,266777.52066666674,1,1,0.3333333333333333,0.3333333333333333,32706.746666666615,31218.093166666717,10902.248888888871,10406.031055555572,3634.082962962957
2009,228788.41833333333,234341.41666666666,270989.88366666663,277184.70216666674,1,1,0.5,0.5,42201.4653333333,42843.285500000085,18727.052999999978,18515.3446666667,9363.526499999989
2010,299582.49666666664,294906.46666666673,258917.73399999994,265043.2300000001,0,0,0.4,0.4,0.0,0.0,14981.642399999982,14812.275733333361,5992.656959999993
2011,500348.57583333325,496263.655,255997.1166666666,259972.58716666675,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,12484.701999999985,12343.563111111134,4161.567333333328
2012,486120.3358333334,487903.0075,302814.24899999995,304971.33600000007,0,0,0.2857142857142857,0.2857142857142857,0.0,0.0,10701.173142857131,10580.196952380971,3057.478040816323
2013,447394.3333333333,452840.6775,348704.71599999996,349794.79466666677,0,0,0.25,0.25,0.0,0.0,9363.526499999989,9257.67233333335,2340.8816249999973
2014,343695.0833333333,345001.2683333333,392446.83199999994,393251.04466666677,1,1,0.3333333333333333,0.3333333333333333,48751.74866666662,48249.77633333346,13739.995629629615,13590.128333333363,4579.998543209871
2015,345623.4166666667,349369.41583333333,415428.1649999999,415383.0150000001,1,1,0.4,0.4,69804.74833333323,66013.59916666674,19346.47089999998,18832.4754166667,7738.588359999992
2016,353418.0,355881.14083333337,424636.34899999993,426275.6048333334,1,1,0.45454545454545453,0.45454545454545453,71218.34899999993,70394.46400000004,24062.096181818157,23519.928924242457,10937.31644628098
2017,391458.3333333333,392831.61250000005,395250.2338333333,398199.102,1,1,0.5,0.5,3791.900499999989,5367.489499999967,22372.91320833331,22007.22563888892,11186.456604166655
2018,399186.8333333333,396915.5683333333,376317.8333333333,379184.823,0,0,0.46153846153846156,0.46153846153846156,0.0,0.0,20651.919884615363,20314.362128205154,9531.655331360937
2019,399637.9166666667,398453.16666666674,366676.3333333334,367999.8011666666,0,0,0.42857142857142855,0.42857142857142855,0.0,0.0,19176.78274999998,18863.336261904788,8218.62117857142
2020,449774.7525,432098.055,377864.9,378690.1808333333,0,0,0.4,0.4,0.0,0.0,17898.33056666665,17605.780511111134,7159.33222666666
