year,무_true,무_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,10334.499875,11071.167391666668,9290.649778333333,9511.144933333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,9873.499875,9804.268025000001,9481.78312,9699.303134999998,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,8142.499833333332,8917.053858333335,9981.683158333333,10015.951841666667,1,1,0.3333333333333333,0.3333333333333333,1839.1833250000009,1098.8979833333324,613.0611083333337,366.2993277777775,204.35370277777787
2009,7754.49975,8463.242666666667,9466.199816666667,9569.927346666667,1,1,0.5,0.5,1711.7000666666672,1106.6846800000003,887.720847916667,551.3956658333332,443.8604239583335
2010,17190.58325,15658.639433333336,8989.216491666668,9402.122940000001,0,0,0.4,0.4,0.0,0.0,710.1766783333336,441.11653266666656,284.07067133333345
2011,13995.999833333335,13318.538558333332,10659.116516666669,10782.874275000002,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,591.8138986111113,367.59711055555545,197.2712995370371
2012,11860.416625,11573.035208333333,11391.416508333334,11232.348508333334,0,0,0.2857142857142857,0.2857142857142857,0.0,0.0,507.26905595238117,315.0832376190475,144.9340159863946
2013,13074.833250000001,13075.03325,11788.799858333336,11586.101945000002,0,0,0.25,0.25,0.0,0.0,443.8604239583335,275.6978329166666,110.96510598958338
2014,9684.416541666667,10283.01675,12775.266541666668,12417.697823333338,1,1,0.3333333333333333,0.3333333333333333,3090.8500000000004,2134.681073333337,737.970376851852,482.2515262962966,245.990125617284
2015,10809.416583333334,10783.355791666663,13161.2499,12781.652640000004,1,1,0.4,0.4,2351.833316666667,1998.2968483333407,899.3566708333335,633.856058500001,359.7426683333334
2016,16102.749916666668,15223.851583333335,11885.016566666669,11806.59591166667,0,0,0.36363636363636365,0.36363636363636365,0.0,0.0,817.5969734848487,576.2327804545464,297.3079903581268
2017,16510.58325,17190.89866666667,12306.366583333336,12187.65851666667,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,749.4638923611113,528.2133820833342,249.82129745370378
2018,17075.666666666668,18655.209583333333,13236.399908333336,13311.231208333338,0,0,0.3076923076923077,0.3076923076923077,0.0,0.0,691.8128237179488,487.58158346153925,212.86548422090735
2019,10915.333291666668,10013.511791666666,14036.566591666671,14427.266475000006,1,1,0.35714285714285715,0.35714285714285715,3121.2333000000035,4413.75468333334,865.3428577380956,768.0225191666678,309.05102062074843
2020,15664.749916666668,14543.124041666668,14282.749941666672,14373.365483333338,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,807.6533338888893,716.82101788889,269.21777796296305
