year,미나리_true,미나리_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,33593.08316666667,34249.028666666665,28044.266116666666,29076.67756666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,30979.9155,29937.81883333334,29698.182883333335,30254.8201,0,1,0.0,0.5,0.0,317.00126666666256,0.0,158.50063333333128,0.0
2008,33556.499083333336,34329.093,30504.76595,31011.520883333334,0,0,0.0,0.3333333333333333,0.0,0.0,0.0,105.66708888888752,0.0
2009,40406.250166666665,40139.13483333334,31680.499216666667,32000.807666666668,0,0,0.0,0.25,0.0,0.0,0.0,79.25031666666564,0.0
2010,53896.332,51847.26766666666,33677.466133333335,33532.604616666664,0,0,0.0,0.2,0.0,0.0,0.0,63.400253333332515,0.0
2011,45993.83266666666,47817.10666666667,38486.41598333333,38100.4686,0,0,0.0,0.16666666666666666,0.0,0.0,0.0,52.83354444444376,0.0
2012,45926.66683333333,45315.010083333334,40966.56588333333,40814.0842,0,0,0.0,0.14285714285714285,0.0,0.0,0.0,45.28589523809465,0.0
2013,44839.583000000006,45847.68116666667,43955.91614999999,43889.52244999999,0,0,0.0,0.125,0.0,0.0,0.0,39.62515833333282,0.0
2014,46561.416666666664,47021.38049999999,46212.53293333332,46193.24008333332,0,0,0.0,0.1111111111111111,0.0,0.0,0.0,35.22236296296251,0.0
2015,48412.33266666666,46587.68325,47443.566233333324,47569.68921666665,0,1,0.0,0.2,0.0,982.0059666666493,0.0,129.9007233333312,0.0
2016,56407.2495,53905.94041666666,46346.76636666666,46517.77233333331,0,0,0.0,0.18181818181818182,0.0,0.0,0.0,118.09156666666472,0.0
2017,47434.41633333333,43829.92483333333,48429.44973333333,47735.53908333332,1,1,0.08333333333333333,0.25,995.0334000000003,3905.6142499999914,82.91945000000003,433.7184569444419,6.909954166666669
2018,67339.25050000001,55890.04574999999,48730.99963333332,47438.52203333332,0,0,0.07692307692307693,0.23076923076923078,0.0,0.0,76.54103076923079,400.35549871794643,5.8877715976331375
2019,64119.49899999999,48019.75358333333,53230.933133333325,49446.994949999986,0,1,0.07142857142857142,0.2857142857142857,0.0,1427.2413666666544,71.0738142857143,473.70448928571125,5.076701020408165
2020,65558.24966666667,49395.77491666667,56742.54959999999,49646.66956666666,0,1,0.06666666666666667,0.3333333333333333,0.0,250.89464999998745,66.33556000000002,458.8504999999963,4.422370666666668
