year,생강(국산)_true,생강(국산)_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,41597.08416666667,42808.7205,79476.68493333334,79450.65418333332,1,1,1.0,1.0,37879.60076666667,36641.933683333315,37879.60076666667,36641.933683333315,37879.60076666667
2007,51059.41566666666,54427.17283333334,59935.90096666666,61922.670616666655,1,1,1.0,1.0,8876.4853,7495.497783333318,23378.043033333335,22068.715733333316,23378.043033333335
2008,42147.748499999994,41359.21425,58922.000799999994,60545.75258333333,1,1,1.0,1.0,16774.2523,19186.53833333333,21176.779455555556,21107.98993333332,21176.779455555556
2009,97286.42,95702.67091666667,59549.650566666656,60787.75093333332,0,0,0.75,0.75,0.0,0.0,15882.584591666668,15830.99244999999,11911.938443750001
2010,100947.25283333333,102176.22275,63469.201066666654,64846.56178333333,0,0,0.6,0.6,0.0,0.0,12706.067673333335,12664.793959999992,7623.640604
2011,69229.002,70290.86833333333,66607.58423333333,67294.80025,0,0,0.5,0.5,0.0,0.0,10588.389727777778,10553.99496666666,5294.194863888889
2012,88296.9175,85965.16374999999,72133.96779999998,72791.22981666667,0,0,0.42857142857142855,0.42857142857142855,0.0,0.0,9075.762623809524,9046.281399999994,3889.6125530612244
2013,102188.668,104211.70958333336,79581.46816666666,79098.82800000001,0,0,0.375,0.375,0.0,0.0,7941.292295833334,7915.496224999995,2977.9846109375003
2014,106215.50166666666,100626.21291666666,91589.65206666666,91669.32706666668,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,7058.926485185186,7035.99664444444,2352.9754950617285
2015,130527.83583333333,123758.30416666665,93375.4684,92654.03546666667,0,0,0.3,0.3,0.0,0.0,6353.033836666667,6332.396979999996,1905.910151
2016,74275.501,79138.34891666667,99291.585,96970.45175,1,1,0.36363636363636365,0.36363636363636365,25016.084000000003,17832.102833333323,8049.674760606061,7377.824784848481,2927.154458402204
2017,48809.583666666666,47533.11549999999,100300.88480000003,98739.94786666665,1,1,0.4166666666666667,0.4166666666666667,51491.30113333336,51206.83236666666,11669.810291666668,11030.242083333329,4862.4209548611125
2018,118694.585,108473.293,92403.41803333335,91053.53821666665,0,0,0.38461538461538464,0.38461538461538464,0.0,0.0,10772.132576923079,10181.761923076918,4143.1279142011845
2019,222695.08333333334,149307.57083333333,95704.60143333334,91905.85489999999,0,0,0.35714285714285715,0.35714285714285715,0.0,0.0,10002.694535714287,9454.49321428571,3572.390905612245
2020,156245.75166666668,131488.1704166667,119000.51776666667,101642.12648333333,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,9335.848233333334,8824.193666666662,3111.949411111111
