year,시금치_true,시금치_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,9487.750125,11677.015833333333,9907.533591666666,12206.84333,1,1,1.0,1.0,419.78346666666584,529.8274966666668,419.78346666666584,529.8274966666668,419.78346666666584
2007,9820.833375,12089.932475000001,9258.1835,11578.58523,0,0,0.5,0.5,0.0,0.0,209.89173333333292,264.9137483333334,104.94586666666646
2008,8859.416625,11463.836583333332,9450.816808333333,11720.224805000002,1,1,0.6666666666666666,0.6666666666666666,591.4001833333332,256.3882216666698,337.0612166666663,262.0719061111122,224.70747777777754
2009,8635.999833333333,11525.948333333334,9451.566749999998,11652.950289999999,1,1,0.75,0.75,815.5669166666648,127.00195666666514,456.68764166666597,228.30441875000042,342.5157312499995
2010,16234.333583333333,16342.361608333335,9308.20005,11639.520423333332,0,0,0.6,0.6,0.0,0.0,365.3501133333328,182.64353500000033,219.21006799999967
2011,12644.167,13090.275441666667,10607.666708333334,12619.818966666666,0,0,0.5,0.5,0.0,0.0,304.45842777777733,152.20294583333362,152.22921388888867
2012,14285.166875,14141.719475,11238.950083333333,12902.470888333333,0,0,0.42857142857142855,0.42857142857142855,0.0,0.0,260.96436666666625,130.4596678571431,111.84187142857124
2013,15660.667000000001,14705.840641666668,12131.816783333334,13312.828288333334,0,0,0.375,0.375,0.0,0.0,228.34382083333298,114.15220937500021,85.62893281249987
2014,10302.750375000001,12282.097025000001,13492.066858333335,13961.2291,1,1,0.4444444444444444,0.4444444444444444,3189.316483333334,1679.1320749999995,557.3407833333331,288.03886111111126,247.7070148148147
2015,13245.75,14745.441,13825.416966666668,14112.458838333332,1,0,0.5,0.4,579.6669666666676,0.0,559.5734016666665,259.23497500000013,279.78670083333327
2016,17811.00016666667,16216.301749999999,13227.70025,13793.074716666666,0,0,0.45454545454545453,0.36363636363636365,0.0,0.0,508.7030924242423,235.6681590909092,231.22867837465557
2017,14128.416708333332,14149.417208333334,14261.066883333333,14418.279978333332,1,1,0.5,0.4166666666666667,132.65017500000067,268.8627699999979,477.3653493055555,238.4343766666666,238.68267465277776
2018,19414.916416666667,17105.420916666666,14229.71685,14419.819524999999,0,0,0.46153846153846156,0.38461538461538464,0.0,0.0,440.6449378205128,220.0932707692307,203.37458668639053
2019,15064.916875000003,15535.46965,14980.566733333331,14899.735579999999,0,0,0.42857142857142855,0.35714285714285715,0.0,0.0,409.17029940476186,204.3723228571428,175.35869974489793
2020,16561.0,14382.057308333335,15933.000033333334,15550.410104999999,0,1,0.4,0.4,0.0,1168.3527966666643,381.8922794444444,268.63768777777756,152.75691177777776
