연월,오이(가시)_true,오이(가시)_pred
2001_7,9333.0,8617.493
2001_8,11262.001,10950.471
2001_9,11251.001,10184.313
2001_10,6298.0,13833.97
2001_11,9181.0,9726.079
2001_12,16603.0,13362.435
2002_1,18507.0,19559.87
2002_2,30077.0,27146.182
2002_3,27730.0,28064.12
2002_4,15293.0,16256.823
2002_5,13107.0,13372.928
2002_6,14093.001,13378.468
2002_7,9580.0,9138.31
2002_8,8156.0005,9440.65
2002_9,13077.0,12598.623
2002_10,15493.0,16143.833
2002_11,14859.0,18420.336
2002_12,12449.0,15849.372
2003_1,19014.0,17811.639
2003_2,24653.0,25470.652
2003_3,25855.0,22411.338
2003_4,20280.0,24758.021
2003_5,12493.0,14823.189
2003_6,8917.001,9746.827
2003_7,9167.001,8175.754
2003_8,12103.0,12784.341
2003_9,9436.0,10054.5
2003_10,16486.0,12961.151
2003_11,14895.001,16134.587
2003_12,19080.0,20473.88
2004_1,22038.0,23621.043
2004_2,24681.0,25077.004
2004_3,20763.998,24273.195
2004_4,17821.0,15476.89
2004_5,12222.001,13124.434
2004_6,12611.0,13164.612
2004_7,12436.0,13445.339
2004_8,13596.001,12237.055
2004_9,14106.001,12011.518
2004_10,9673.0,11721.67
2004_11,8138.0005,6987.4355
2004_12,9000.0,12205.994
2005_1,14400.0,13394.66
2005_2,23889.002,18533.805
2005_3,26823.0,26063.086
2005_4,16803.0,15791.5
2005_5,14460.0,14189.692
2005_6,10955.0,13983.44
2005_7,8952.001,10899.846
2005_8,11803.001,9704.628
2005_9,14324.0,16773.389
2005_10,12192.0,15536.677
2005_11,18137.0,13580.807
2005_12,15087.0,17755.107
2006_1,17697.0,16248.326
2006_2,29788.0,25153.936
2006_3,30283.0,33580.28
2006_4,22894.0,20550.367
2006_5,17700.0,17760.48
2006_6,13133.001,14060.796
2006_7,8392.0,9125.465
2006_8,13244.001,14013.703
2006_9,14475.0,13655.999
2006_10,10919.0,12520.707
2006_11,6801.0,9331.419
2006_12,11841.0,13196.602
2007_1,20722.0,17715.057
2007_2,25667.002,25438.2
2007_3,27456.0,29910.205
2007_4,18349.0,19814.943
2007_5,15794.0,14844.255
2007_6,13619.0,13009.455
2007_7,12356.0,13231.5625
2007_8,11034.0,12898.673
2007_9,10879.0,13446.867
2007_10,20484.0,15368.418
2007_11,20904.0,22772.525
2007_12,11636.0,15362.233
2008_1,13982.001,14066.854
2008_2,26485.0,26877.69
2008_3,21574.0,24429.174
2008_4,16413.0,15521.196
2008_5,12651.0,11926.895
2008_6,10333.001,10062.587
2008_7,11378.0,12044.416
2008_8,10802.0,10329.611
2008_9,12556.0,11266.967
2008_10,8085.0005,12938.777
2008_11,13010.0,12347.476
2008_12,16600.0,13020.451
2009_1,19444.0,19742.635
2009_2,26947.0,24126.166
2009_3,36600.0,33021.023
2009_4,25152.0,25880.447
2009_5,16591.0,16307.585
2009_6,14333.0,16107.78
2009_7,12485.0,15420.822
2009_8,15768.0,14999.104
2009_9,12683.001,14624.096
2009_10,10212.0,11120.164
2009_11,8952.001,11712.936
2009_12,15809.0,17027.162
2010_1,21794.0,22279.682
2010_2,29600.0,25432.223
2010_3,37895.0,36955.043
2010_4,39408.996,37605.848
2010_5,24136.0,26093.527
2010_6,18614.0,18441.8
2010_7,15556.001,15221.988
2010_8,18455.0,18311.125
2010_9,27318.0,24666.1
2010_10,35825.0,34788.637
2010_11,23000.0,26728.996
2010_12,16576.0,15323.758
2011_1,18094.0,16749.768
2011_2,27873.0,24695.078
2011_3,29912.0,31528.176
2011_4,22848.0,24132.535
2011_5,16349.0,17534.82
2011_6,15467.001,14992.418
2011_7,11770.0,11343.555
2011_8,19706.0,19088.871
2011_9,21932.0,22328.342
2011_10,15322.0,18639.574
2011_11,13233.0,12241.546
2011_12,25189.0,24261.66
2012_1,29524.002,29170.574
2012_2,39458.0,37325.71
2012_3,40754.0,39869.664
2012_4,33460.0,33680.477
2012_5,23258.0,23018.766
2012_6,21937.0,21809.094
2012_7,14467.0,17717.057
2012_8,14962.0,14823.087
2012_9,24106.0,23438.14
2012_10,27192.002,27343.588
2012_11,17095.0,19938.244
2012_12,17939.0,19081.59
2013_1,23421.0,20714.285
2013_2,41318.0,39557.59
2013_3,45702.0,46295.348
2013_4,27116.998,27894.227
2013_5,19083.0,18745.633
2013_6,15540.001,15352.478
2013_7,16719.0,14715.704
2013_8,20129.998,20297.277
2013_9,22429.0,20686.398
2013_10,17519.0,20700.64
2013_11,19794.0,18898.916
2013_12,18286.0,20249.18
2014_1,22349.0,22032.148
2014_2,32467.0,28960.387
2014_3,33017.0,33686.07
2014_4,28024.0,27273.605
2014_5,21318.002,21664.1
2014_6,12877.0,12410.271
2014_7,13684.0,13395.152
2014_8,12464.0,13144.134
2014_9,18895.0,17466.021
2014_10,15093.0,16994.3
2014_11,13222.0,12427.877
2014_12,17500.0,17756.17
2015_1,26167.0,25737.625
2015_2,31778.0,27844.652
2015_3,39098.0,34878.715
2015_4,24667.0,25868.13
2015_5,20546.0,20248.258
2015_6,12500.0,13864.466
2015_7,11242.001,12784.479
2015_8,13623.001,15059.75
2015_9,17450.0,16099.163
2015_10,15100.0,13274.162
2015_11,15024.001,12220.715
2015_12,20238.0,21902.412
2016_1,32452.0,27946.883
2016_2,33950.0,34835.06
2016_3,38778.0,38122.785
2016_4,28841.0,27309.156
2016_5,18450.0,18552.383
2016_6,15700.001,13682.103
2016_7,16762.0,15613.2295
2016_8,20643.0,21483.943
2016_9,25182.0,25547.799
2016_10,27684.002,24922.37
2016_11,28250.0,27717.105
2016_12,28182.0,24921.248
2017_1,25595.0,26502.082
2017_2,36725.0,20569.877
2017_3,34925.0,46118.848
2017_4,25227.0,30941.355
2017_5,18300.0,17809.1
2017_6,12947.0,12346.358
2017_7,13143.0,16330.292
2017_8,23952.0,16475.11
2017_9,24545.0,25985.074
2017_10,21452.0,20150.672
2017_11,21375.0,24016.59
2017_12,17545.0,22522.924
2018_1,22421.0,25145.816
2018_2,39159.0,35964.363
2018_3,37111.0,43500.535
2018_4,27310.0,24554.53
2018_5,19832.998,19516.344
2018_6,16750.0,12486.58
2018_7,12921.0,17398.703
2018_8,18773.0,15471.115
2018_9,24614.0,23607.162
2018_10,22647.0,28607.094
2018_11,21119.0,18491.95
2018_12,17250.0,15890.412
2019_1,27408.0,11535.535
2019_2,32080.0,46303.395
2019_3,33265.0,36407.18
2019_4,24525.0,24660.139
2019_5,15932.0,20628.537
2019_6,15548.0,9306.659
2019_7,15987.0,21133.2
2019_8,18457.0,18445.098
2019_9,21786.0,18305.178
2019_10,18342.0,26559.594
2019_11,24810.0,20199.39
2019_12,26357.0,29445.85
2020_1,27800.0,23292.143
2020_2,43974.996,23274.48
2020_3,42375.0,43524.492
2020_4,23159.0,28909.91
2020_5,15700.001,16829.021
2020_6,16342.0,16186.619
2020_7,15282.0,17440.654
2020_8,17330.0,18362.605
2020_9,32260.0,18054.197
2020_10,35076.0,35897.44
2020_11,15384.0,29000.068
2020_12,20918.998,14153.2295
