year,콩(흰콩국산)_true,콩(흰콩국산)_pred,MA_5_true,MA_5_pred,보험지급여부_true,보험지급여부_pred,빈도_mean_true,빈도_mean_pred,심도_true,심도_pred,심도_mean_true,심도_mean_pred,보험료_true
2006,95827.91333333333,97562.75291666668,127791.21516666669,127693.67360000001,1,1,1.0,1.0,31963.30183333336,30130.92068333333,31963.30183333336,30130.92068333333,31963.30183333336
2007,88552.58166666667,87184.08533333334,129019.89783333335,129118.21151666666,1,1,1.0,1.0,40467.316166666686,41934.12618333333,36215.30900000002,36032.52343333333,36215.30900000002
2008,149266.0825,153738.15583333332,127129.29816666669,126848.17096666669,0,0,0.6666666666666666,0.6666666666666666,0.0,0.0,24143.53933333335,24021.682288888886,16095.692888888898
2009,127712.9975,126975.35441666668,132729.14816666668,133478.09723333336,1,1,0.75,0.75,5016.150666666683,6502.74281666668,19361.692166666682,19641.947420833334,14521.269125000012
2010,160772.91666666666,158074.32366666666,121235.26500000004,122376.99395000003,0,0,0.6,0.6,0.0,0.0,15489.353733333346,15713.557936666668,9293.612240000008
2011,240169.57666666666,239795.07499999998,124426.49833333337,124706.93443333337,0,0,0.5,0.5,0.0,0.0,12907.794777777788,13094.631613888889,6453.897388888894
2012,192210.33333333334,190235.96083333335,153294.83100000003,153153.39885000003,0,0,0.42857142857142855,0.42857142857142855,0.0,0.0,11063.824095238104,11223.969954761906,4741.6388979591875
2013,215748.50333333333,217492.20666666664,174026.38133333338,173763.77395,0,0,0.375,0.375,0.0,0.0,9680.846083333341,9820.973710416667,3630.317281250003
2014,144079.25,143951.365,187322.8655,186514.58411666667,1,1,0.4444444444444444,0.4444444444444444,43243.615500000014,42563.219116666674,13410.042685185193,13459.00097777778,5960.018971193419
2015,138753.58333333334,138911.65083333335,190596.116,189909.78623333335,1,1,0.5,0.5,51842.532666666666,50998.1354,17253.29168333334,17212.91442,8626.64584166667
2016,151968.16666666666,151723.22583333333,186192.24933333334,186077.25166666665,1,1,0.5454545454545454,0.5454545454545454,34224.08266666668,34354.02583333332,18796.09086363637,18771.197275757575,10252.41319834711
2017,173085.16666666666,175948.22583333333,168551.96733333333,168462.88183333335,0,0,0.5,0.5,0.0,0.0,17229.74995833334,17206.93083611111,8614.87497916667
2018,175998.33333333334,175636.3075,164726.93399999998,165605.33483333333,0,0,0.46153846153846156,0.46153846153846156,0.0,0.0,15904.384576923085,15883.320771794872,7340.485189349117
2019,192121.16333333333,193316.98749999996,156776.9,157234.155,0,0,0.42857142857142855,0.42857142857142855,0.0,0.0,14768.357107142863,14748.79785952381,6329.295903061226
2020,184110.58333333334,182665.12250000003,166385.28266666667,167107.2795,0,0,0.4,0.4,0.0,0.0,13783.799966666673,13765.544668888888,5513.51998666667
